runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
12,0,33,22,1,0,54.54,1,Sri Lanka,Dambulla,18 Aug 2008
37,0,82,67,6,0,55.22,2,Sri Lanka,Dambulla,20 Aug 2008
25,0,40,38,4,0,65.78,1,Sri Lanka,Colombo (RPS),24 Aug 2008
54,0,87,66,7,0,81.81,1,Sri Lanka,Colombo (RPS),27 Aug 2008
31,0,45,46,3,1,67.39,2,Sri Lanka,Colombo (RPS),29 Aug 2008
2,1,6,2,0,0,100.00,1,Sri Lanka,Colombo (RPS),14 Sep 2009
16,0,28,24,1,0,66.66,2,Pakistan,Centurion,26 Sep 2009
TDNB,0,-,-,-,-,-,-,Australia,Centurion,28 Sep 2009
79,1,121,104,9,2,75.96,2,West Indies,Johannesburg,30 Sep 2009
30,0,53,41,3,0,73.17,2,Australia,Vadodara,25 Oct 2009
10,0,32,16,1,0,62.50,2,Australia,Mohali,2 Nov 2009
27,0,20,19,4,0,142.10,1,Sri Lanka,Rajkot,15 Dec 2009
54,0,93,65,7,0,83.07,1,Sri Lanka,Nagpur,18 Dec 2009
107,0,-,114,11,1,93.85,2,Sri Lanka,Kolkata,24 Dec 2009
TDNB,0,-,-,-,-,-,-,Sri Lanka,Delhi,27 Dec 2009
9,0,19,12,1,0,75.00,1,Sri Lanka,Dhaka,5 Jan 2010
91,0,136,102,7,0,89.21,2,Bangladesh,Dhaka,7 Jan 2010
71,1,98,68,9,0,104.41,2,Sri Lanka,Dhaka,10 Jan 2010
102,1,128,95,11,0,107.36,2,Bangladesh,Dhaka,11 Jan 2010
2,0,6,8,0,0,25.00,1,Sri Lanka,Dhaka,13 Jan 2010
31,0,-,46,1,0,67.39,1,South Africa,Jaipur,21 Feb 2010
DNB,0,-,-,-,-,-,1,South Africa,Gwalior,24 Feb 2010
57,0,-,71,4,1,80.28,2,South Africa,Ahmedabad,27 Feb 2010
0,0,3,0,0,0,-,1,Zimbabwe,Bulawayo,28 May 2010
82,0,125,92,4,0,89.13,2,Sri Lanka,Bulawayo,30 May 2010
18,0,28,29,1,0,62.06,1,Zimbabwe,Harare,3 Jun 2010
68,0,123,95,5,0,71.57,1,Sri Lanka,Harare,5 Jun 2010
11,0,35,22,0,0,50.00,2,Bangladesh,Dambulla,16 Jun 2010
18,0,31,27,1,0,66.66,2,Pakistan,Dambulla,19 Jun 2010
10,0,13,14,1,0,71.42,1,Sri Lanka,Dambulla,22 Jun 2010
28,0,57,34,4,0,82.35,1,Sri Lanka,Dambulla,24 Jun 2010
0,0,5,3,0,0,0.00,2,Sri Lanka,Dambulla,16 Aug 2010
8,0,22,16,1,0,50.00,1,New Zealand,Dambulla,25 Aug 2010
37,0,98,57,5,0,64.91,2,Sri Lanka,Dambulla,28 Aug 2010
118,0,193,121,11,1,97.52,2,Australia,Visakhapatnam,20 Oct 2010
105,0,162,104,10,0,100.96,1,New Zealand,Guwahati,28 Nov 2010
64,0,78,73,8,0,87.67,2,New Zealand,Jaipur,1 Dec 2010
63,1,83,70,6,2,90.00,2,New Zealand,Vadodara,4 Dec 2010
0,0,3,2,0,0,0.00,2,New Zealand,Bengaluru,7 Dec 2010
2,0,10,8,0,0,25.00,2,New Zealand,Chennai,10 Dec 2010
54,0,122,70,2,1,77.14,2,South Africa,Durban,12 Jan 2011
22,0,43,34,1,0,64.70,1,South Africa,Johannesburg,15 Jan 2011
28,0,51,41,5,0,68.29,2,South Africa,Cape Town,18 Jan 2011
87,1,126,92,7,2,94.56,2,South Africa,Port Elizabeth,21 Jan 2011
2,0,11,6,0,0,33.33,2,South Africa,Centurion,23 Jan 2011
100,1,113,83,8,2,120.48,1,Bangladesh,Dhaka,19 Feb 2011
8,0,12,5,1,0,160.00,1,England,Bengaluru,27 Feb 2011
34,0,82,53,3,0,64.15,2,Ireland,Bengaluru,6 Mar 2011
12,0,16,20,2,0,60.00,2,Netherlands,Delhi,9 Mar 2011
1,0,2,3,0,0,33.33,1,South Africa,Nagpur,12 Mar 2011
59,0,128,76,5,0,77.63,1,West Indies,Chennai,20 Mar 2011
24,0,38,33,1,0,72.72,2,Australia,Ahmedabad,24 Mar 2011
9,0,20,21,0,0,42.85,1,Pakistan,Mohali,30 Mar 2011
35,0,69,49,4,0,71.42,2,Sri Lanka,Mumbai,2 Apr 2011
2,0,5,8,0,0,25.00,2,West Indies,Port of Spain,6 Jun 2011
81,0,118,103,6,1,78.64,2,West Indies,Port of Spain,8 Jun 2011
0,0,1,1,0,0,0.00,2,West Indies,North Sound,11 Jun 2011
22,0,68,33,1,0,66.66,2,West Indies,North Sound,13 Jun 2011
94,0,135,104,10,0,90.38,1,West Indies,Kingston,16 Jun 2011
55,0,92,73,4,0,75.34,1,England,Chester-le-Street,3 Sep 2011
9,0,9,9,0,0,100.00,1,England,Southampton,6 Sep 2011
7,0,18,18,0,0,38.88,1,England,The Oval,9 Sep 2011
16,0,40,36,1,0,44.44,1,England,Lord's,11 Sep 2011
107,0,102,93,9,1,115.05,1,England,Cardiff,16 Sep 2011
37,0,70,63,0,0,58.73,1,England,Hyderabad (Deccan),14 Oct 2011
112,1,134,98,16,0,114.28,2,England,Delhi,17 Oct 2011
35,0,42,30,5,0,116.66,2,England,Mohali,20 Oct 2011
86,1,-,99,11,0,86.86,2,England,Mumbai,23 Oct 2011
0,0,5,5,0,0,0.00,1,England,Kolkata,25 Oct 2011
3,0,13,6,0,0,50.00,2,West Indies,Cuttack,29 Nov 2011
117,0,154,123,14,0,95.12,2,West Indies,Visakhapatnam,2 Dec 2011
20,0,21,30,3,0,66.66,2,West Indies,Ahmedabad,5 Dec 2011
23,1,15,11,3,0,209.09,1,West Indies,Indore,8 Dec 2011
80,0,99,85,5,0,94.11,1,West Indies,Chennai,11 Dec 2011
31,0,30,34,3,0,91.17,2,Australia,Melbourne,5 Feb 2012
77,0,156,94,8,1,81.91,2,Sri Lanka,Perth,8 Feb 2012
18,0,41,28,1,0,64.28,2,Australia,Adelaide,12 Feb 2012
15,0,32,25,1,0,60.00,2,Sri Lanka,Adelaide,14 Feb 2012
12,0,44,25,0,0,48.00,2,Australia,Brisbane,19 Feb 2012
66,0,116,83,2,0,79.51,2,Sri Lanka,Brisbane,21 Feb 2012
21,0,36,27,2,0,77.77,2,Australia,Sydney,26 Feb 2012
133,1,133,86,16,2,154.65,2,Sri Lanka,Hobart,28 Feb 2012
108,0,148,120,7,0,90.00,1,Sri Lanka,Dhaka,13 Mar 2012
66,0,126,82,5,0,80.48,1,Bangladesh,Dhaka,16 Mar 2012
183,0,211,148,22,1,123.64,2,Pakistan,Dhaka,18 Mar 2012
106,0,158,113,9,0,93.80,1,Sri Lanka,Hambantota,21 Jul 2012
1,0,6,5,0,0,20.00,1,Sri Lanka,Hambantota,24 Jul 2012
38,0,80,65,2,0,58.46,2,Sri Lanka,Colombo (RPS),28 Jul 2012
128,1,187,119,12,1,107.56,2,Sri Lanka,Colombo (RPS),31 Jul 2012
