,runs,Opp,Ground,Inns
0,12,Sri Lanka,Dambulla,1
1,37,Sri Lanka,Dambulla,2
2,25,Sri Lanka,Colombo (RPS),1
3,54,Sri Lanka,Colombo (RPS),1
4,31,Sri Lanka,Colombo (RPS),2
5,2,Sri Lanka,Colombo (RPS),1
6,16,Pakistan,Centurion,2
7,TDNB,Australia,Centurion,-
8,79,West Indies,Johannesburg,2
9,30,Australia,Vadodara,2
10,10,Australia,Mohali,2
11,27,Sri Lanka,Rajkot,1
12,54,Sri Lanka,Nagpur,1
13,107,Sri Lanka,Kolkata,2
14,TDNB,Sri Lanka,Delhi,-
15,9,Sri Lanka,Dhaka,1
16,91,Bangladesh,Dhaka,2
17,71,Sri Lanka,Dhaka,2
18,102,Bangladesh,Dhaka,2
19,2,Sri Lanka,Dhaka,1
20,31,South Africa,Jaipur,1
21,DNB,South Africa,Gwalior,1
22,57,South Africa,Ahmedabad,2
23,0,Zimbabwe,Bulawayo,1
24,82,Sri Lanka,Bulawayo,2
25,18,Zimbabwe,Harare,1
26,68,Sri Lanka,Harare,1
27,11,Bangladesh,Dambulla,2
28,18,Pakistan,Dambulla,2
29,10,Sri Lanka,Dambulla,1
30,28,Sri Lanka,Dambulla,1
31,0,Sri Lanka,Dambulla,2
32,8,New Zealand,Dambulla,1
33,37,Sri Lanka,Dambulla,2
34,118,Australia,Visakhapatnam,2
35,105,New Zealand,Guwahati,1
36,64,New Zealand,Jaipur,2
37,63,New Zealand,Vadodara,2
38,0,New Zealand,Bengaluru,2
39,2,New Zealand,Chennai,2
40,54,South Africa,Durban,2
41,22,South Africa,Johannesburg,1
42,28,South Africa,Cape Town,2
43,87,South Africa,Port Elizabeth,2
44,2,South Africa,Centurion,2
45,100,Bangladesh,Dhaka,1
46,8,England,Bengaluru,1
47,34,Ireland,Bengaluru,2
48,12,Netherlands,Delhi,2
49,1,South Africa,Nagpur,1
50,59,West Indies,Chennai,1
51,24,Australia,Ahmedabad,2
52,9,Pakistan,Mohali,1
53,35,Sri Lanka,Mumbai,2
54,2,West Indies,Port of Spain,2
55,81,West Indies,Port of Spain,2
56,0,West Indies,North Sound,2
57,22,West Indies,North Sound,2
58,94,West Indies,Kingston,1
59,55,England,Chester-le-Street,1
60,9,England,Southampton,1
61,7,England,The Oval,1
62,16,England,Lord's,1
63,107,England,Cardiff,1
64,37,England,Hyderabad (Deccan),1
65,112,England,Delhi,2
66,35,England,Mohali,2
67,86,England,Mumbai,2
68,0,England,Kolkata,1
69,3,West Indies,Cuttack,2
70,117,West Indies,Visakhapatnam,2
71,20,West Indies,Ahmedabad,2
72,23,West Indies,Indore,1
73,80,West Indies,Chennai,1
74,31,Australia,Melbourne,2
75,77,Sri Lanka,Perth,2
76,18,Australia,Adelaide,2
77,15,Sri Lanka,Adelaide,2
78,12,Australia,Brisbane,2
79,66,Sri Lanka,Brisbane,2
